"congestion, block, strategy, congestionstrategy, blockgenerator, generator"
"partial, job, sum, callsite, evaluator, result"
"getnumpartitions, rdd, self, _jrdd, intersection, multiplication"
"streamingkmeans, trainingdir, kmeans, testdir, usage, dir"
"minutes, tweetcount, mother, mutha, profane, tweets"
"javasqlcontext, ctx, javasparkcontext, sqlctx, lcontext, java"
"dirs, yarnlocaldirs, downs, container, localdirs, shut"
"rbrz, brz, axpy, brzaxpy, bsv, bdv"
"clique1labels, clique2labels, graph, community, vertex, propagation"
"executors, numexecutors, ready, registered, backend, scheduler"
"classof, void, char, class, short, float"
"sigchld, signal, handle"
"networkwordcount, localhost, javanetworkwordcount, examples, streaming, example"
"swift, code, keystone, sparktest, mandatory, service"
"unv, classsymbol, annot, annotlist, annotation, annotations"
"commit, merge, pull, gmail, request, receiver"
"server, connector, jetty, pool, v20131115, threadpool"
"svd, ncoef, matrix, inv, computeinverse, v*inv"
"left, plan, lowercasedata, uppercasedata, subtract, nil"
"bdv, gramian, double, multiply, matrix"
"mxfile, macintosh, gecko, diagram, mac, intel"
"partition, rdd, identifier, within, parent, its"
"geolocationfilter, keywordfilters, geo, storagelevel, twitter, level"
"aggregatefunction, merge, combiners, aggregate, treenodeexception, row"
"exit, oom, halt, logging, getruntime"
"block, type, self, rdd, val, assert"
"exclude, hbase, asm, excludeall, excludenetty"
"record, portabledatastream, portable, stream, testoutput, split"
"recursive, recursivefilelist, newfilesonly, directory, directorypath, filter"
"getcanonicalpath, deletebroadcastfile, rootdirs, rootdir0, rootdir1, dirs"
"fpga, acc, pckt, cout, endl, datapoint"
"mutablerow, castedvalues, row, genericmutablerow, iterator"
"dependson, depends, compile, core, streaming, test"
"profanity, tweets, profanitywords, retweets, words, count"
"programming, guide, python, html, scala, tachyon"
"device, content, block, user, data, map"
"plan, log, physicalplan, plans, error, logical"
"cal, calendar, settime, assert, gregoriancalendar, gregorian"
"addtoenvironment, env, environment, yarnsparkhadooputil, pathseparator, variable"
"topk, reverse, sortby, take, frequency, globalcms"
"commit, com, pull, github, databricks, parquet"
"commit, github, gmail, merge, com, pull"
"flume, port, ssc, stream, storagelevel, flumestream"
"uri, environ, setsystemproperty, executor, sparkcontext, get"
"stream, plan, createstreamdesc, streamplan, dstream, tok"
"nodes, inst, cluster, slave, public_dns_name, print"
"receiver, block, val, rdd, tuple2, type"
"resourceoffer, exec1, host1, cpus, manager, tasklocality"
"commit, github, databricks, com, gmail, xin"
"width:100, left:0, align, center, span, style"
"tachyon, storagelevel, tachyonsize, level, block, tachyonstore"
"ssh, command, master, slave, gcutil, echo"
"ttl, cleaner, secs, clears, cleans, min"
"children, eval, registerfunction, input, typetag, udf"
"mat, sparse, similarities, mags, colmags, matrix"
"timeout, fetchtimeout, setconnecttimeout, setreadtimeout, connect, getint"
"mesos, role, offer, resource, slave, fwbuilder"
"nlabels, thresholds, freqs, entropy, discretize, discretizer"
"expression, plan, nil, hive, token, tok"
"countfailedvalues, failed, initialvalue, accumulable, count, values"
"commit, com, pull, github, databricks, gmail"
"commit, github, self, com, databricks, row"
